approach,packer,samples_num,unknown_rate,false_positive_rate,precision,recall,f1_score,accuracy,avg_num_instances
noclustering,kkrunchy,1435.0,0.0,0.2255,0.36,1.0,0.53,0.8,90.0
noclustering,mpress,1435.0,0.0,0.0,1.0,0.89,0.94,0.99,90.0
noclustering,obsidium,1435.0,0.0,0.0,1.0,0.71,0.83,0.97,90.0
noclustering,pecompact,1434.0,0.0,0.0,1.0,0.89,0.94,0.99,90.0
noclustering,pelock,1435.0,0.0,0.0,1.0,0.5,0.66,0.94,90.0
noclustering,petite,1434.0,0.0,0.0,1.0,0.94,0.97,0.99,90.0
noclustering,telock,1432.0,0.0,0.0,1.0,0.63,0.77,0.96,90.0
noclustering,themida-v2,1433.0,0.0,0.0,1.0,0.93,0.96,0.99,90.0
noclustering,upx,1432.0,0.0,0.0,1.0,0.72,0.83,0.97,90.0
clustering,kkrunchy,1435.0,0.0,0.011,0.92,0.99,0.95,0.99,24.0
clustering,mpress,1435.0,0.04,0.0033,0.97,0.94,0.95,0.99,24.2
clustering,obsidium,1435.0,0.05,0.0048,0.96,0.93,0.95,0.99,24.6
clustering,pecompact,1434.0,0.01,0.0043,0.97,0.98,0.97,0.99,23.96
clustering,pelock,1435.0,0.2,0.0006,0.99,0.74,0.85,0.97,23.74
clustering,petite,1434.0,0.01,0.0005,1.0,0.99,0.99,1.0,23.88
clustering,telock,1432.0,0.18,0.001,0.99,0.77,0.87,0.97,22.22
clustering,themida-v2,1433.0,0.06,0.0021,0.98,0.94,0.96,0.99,23.42
clustering,upx,1432.0,0.04,0.0005,1.0,0.89,0.94,0.99,27.21
