approach,packer,version,config,samples_num,identification_rate
noclustering,kkrunchy,v023a,best,3.0,0.0
noclustering,kkrunchy,v023a,good,3.0,0.0
noclustering,kkrunchy,v023a2,good,3.0,1.0
noclustering,mpress,v127,default,3.0,1.0
noclustering,mpress,v218,default,3.0,1.0
noclustering,mpress,v219,default,3.0,1.0
noclustering,obsidium,v15,compress,3.0,1.0
noclustering,obsidium,v15,delphiBcb,3.0,1.0
noclustering,obsidium,v15,encrypt_resources,3.0,1.0
noclustering,obsidium,v15,full_VM_ENC,3.0,1.0
noclustering,obsidium,v15,protect_api,3.0,1.0
noclustering,obsidium,v15,remove_exports,3.0,1.0
noclustering,obsidium,v15,runtime,3.0,1.0
noclustering,pecompact,v3022,aplib1,3.0,1.0
noclustering,pecompact,v3022,aplib1_checksum,3.0,1.0
noclustering,pecompact,v3022,aplib1_exports,3.0,1.0
noclustering,pecompact,v3022,aplib1_full,3.0,1.0
noclustering,pecompact,v3022,aplib1_nofastdecoder,3.0,1.0
noclustering,pecompact,v3022,aplib1_resources,3.0,1.0
noclustering,pecompact,v3022,aplib9,3.0,1.0
noclustering,pecompact,v3022,brieflz,3.0,1.0
noclustering,pecompact,v3022,cipher1,3.0,1.0
noclustering,pecompact,v3022,cipher2,3.0,1.0
noclustering,pecompact,v3022,copy,3.0,1.0
noclustering,pecompact,v3022,crc32,3.0,1.0
noclustering,pecompact,v3022,elfhash,3.0,1.0
noclustering,pecompact,v3022,expand,3.0,0.0
noclustering,pecompact,v3022,ffce,3.0,1.0
noclustering,pecompact,v3022,inv,3.0,1.0
noclustering,pecompact,v3022,jcalg1,3.0,1.0
noclustering,pecompact,v3022,lzma,3.0,1.0
noclustering,pecompact,v3022,lzma2,3.0,1.0
noclustering,pecompact,v311,aplib1,3.0,1.0
noclustering,pecompact,v311,aplib1_checksum,3.0,1.0
noclustering,pecompact,v311,aplib1_full,3.0,1.0
noclustering,pecompact,v311,aplib1_nofastdecoder,3.0,1.0
noclustering,pecompact,v311,aplib1_resources,3.0,1.0
noclustering,pecompact,v311,aplib9,3.0,1.0
noclustering,pecompact,v311,brieflz,3.0,0.0
noclustering,pecompact,v311,crc32,3.0,1.0
noclustering,pecompact,v311,elfhash,3.0,1.0
noclustering,pecompact,v311,ffce,3.0,1.0
noclustering,pecompact,v311,jcalg1,3.0,0.0
noclustering,pecompact,v311,lzma2,3.0,1.0
noclustering,pelock,V106,compress1,59.0,0.0
noclustering,pelock,V106,compress10,59.0,0.0
noclustering,pelock,V106,compress10_coderedirection,59.0,0.0
noclustering,pelock,V106,compress10_full,59.0,0.0
noclustering,pelock,V106,compress10_import,59.0,0.0
noclustering,themida,v237,delphi_bcb_FISH_WHITE,3.0,1.0
noclustering,themida,v237,encrypt_application_FISH_WHITE,3.0,1.0
noclustering,themida,v237,encrypt_resources_FISH_WHITE,3.0,1.0
noclustering,themida,v237,full_FISH_WHITE_ENCODE,3.0,0.0
noclustering,themida,v237,memguard_FISH_WHITE,3.0,1.0
noclustering,themida,v237,protect_all_FISH_WHITE,3.0,1.0
noclustering,themida,v237,protect_application_FISH_WHITE,3.0,1.0
noclustering,themida,v237,protect_resources_FISH_WHITE,3.0,1.0
noclustering,themida,v237,protect_secureEngine_FISH_WHITE,3.0,1.0
noclustering,themida,v304,full_FISH_WHITE,3.0,0.0
noclustering,themida,v304,protect_all_FISH_WHITE,3.0,0.0
noclustering,themida,v304,protect_application_FISH_WHITE,3.0,0.0
noclustering,themida,v304,protect_resources_FISH_WHITE,3.0,0.0
noclustering,themida,v304,protect_secureEngine_FISH_WHITE,3.0,0.0
noclustering,upx,v100,nrv2b_1,3.0,1.0
noclustering,upx,v100,nrv2b_9,3.0,1.0
noclustering,upx,v100,nrv2b_best,3.0,1.0
noclustering,upx,v100,nrv2d_1,3.0,1.0
noclustering,upx,v120,lzma_1,3.0,1.0
noclustering,upx,v120,lzma_9,3.0,1.0
noclustering,upx,v120,lzma_best,3.0,1.0
noclustering,upx,v120,nrv2b_1,3.0,1.0
noclustering,upx,v120,nrv2b_9,3.0,1.0
noclustering,upx,v120,nrv2b_best,3.0,1.0
noclustering,upx,v120,nrv2d_1,3.0,1.0
noclustering,upx,v120,nrv2e_1,3.0,1.0
noclustering,upx,v125,nrb2b_9,3.0,1.0
noclustering,upx,v125,nrv2b_1,3.0,1.0
noclustering,upx,v125,nrv2b_best,3.0,1.0
noclustering,upx,v125,nrv2d_1,3.0,1.0
